Taxa,Group.1,Group.2
Acantha,Stony_coral,Acanthastrea_spp
Acr_bra,Stony_coral,Acropora_spp
Acr_dig,Stony_coral,Acropora_spp
Acr_enc,Stony_coral,Acropora_spp
Asp_taxi,Upright_algae,Asparagopsis
B_Acr_bra,Stony_coral,Acropora_spp
B_Acr_dig,Stony_coral,Acropora_spp
B_CCA,CCA,CCA
B_Monti,Stony_coral,Montipora_spp
B_Poc,Stony_coral,Pocillopora_spp
Bare-Subst,Turf_Bare_Encrusting_Algae,Turf_Bare_Encrusting_Algae
Cage,OUT,OUT
Cau_race,Upright_algae,Caulerpa_spp
Cau_ser,Upright_algae,Caulerpa_spp
CCA,CCA,CCA
CCA_rub,Soft,Soft
Cyano,Upright_algae,Cyanobacteria
D_Acr,Turf_Bare_Encrusting_Algae,Turf_Bare_Encrusting_Algae
D_Acr_sed,Turf_Bare_Encrusting_Algae,Turf_Bare_Encrusting_Algae
D_Poc,Turf_Bare_Encrusting_Algae,Turf_Bare_Encrusting_Algae
D_Poc_sed,Turf_Bare_Encrusting_Algae,Turf_Bare_Encrusting_Algae
Dic_sp,Upright_algae,Dictyota_spp
Enc_cor,Stony_coral,Unknown_encrusting_coral
Fugiid,Stony_coral,Fungiid
Hal_disc,Upright_algae,Halimeda_spp
Hal_mac,Upright_algae,Halimeda_spp
Hal_min,Upright_algae,Halimeda_spp
Hal_sp,Upright_algae,Halimeda_spp
Jan_sp,Turf_Bare,Red_articulated_calcified_algae
L_turf,Upright_algae,Long_turf
Leptastrea,Stony_coral,Leptastrea
Leptoseris,Stony_coral,Leptoseris
Lobo_enc,Turf_Bare,Encrusting_Lobophora
Lobo_fol,Upright_algae,Foliose_Lobophora
Lobophyl,Stony_coral,Lobophyla
Macro,Upright_algae,Unknown_macroalgae
Millepora,Stony_coral,Millepora
Monti,Stony_coral,Montipora_spp
OUT,OUT,OUT
Pad_bor,Upright_algae,Padina
Pavona,Stony_coral,Pavona
Peyss_sp,Turf_Bare_Encrusting_Algae,Peyss_sp
Phyma,Stony_coral,Phymastraea
Poc,Stony_coral,Pocillopora_spp
Por_irr,Stony_coral,Porites_spp
Por_mass,Stony_coral,Porites_spp
Por_rus,Stony_coral,Porites_spp
Psammo,Stony_coral,Psammocora
Sand,Soft,Sand
Sar_pac,Upright_algae,Sargassum
Sed_turf,Turf_Bare_Encrusting_Algae,Turf_Bare_Encrusting_Algae
Sedturfrub,Soft,Rubble
Sponge,Sponge,Sponge
Sturf,Turf_Bare_Encrusting_Algae,Turf_Bare_Encrusting_Algae
Sturfrub,Soft,Rubble
Tur_orn,Upright_algae,Turbinaria
Urchin,Invert,Invert
Val_aeg,Upright_algae,Valonia_spp
Hal_dead,Dead_algae,Dead_Halimeda
Gal_sp,Upright_algae,Galaxaura_spp
Sna,Invert,Invert
Soft_coral,Invert,Invert
Acr_tab,Stony_coral,Acropora_spp
Tridacna,Invert,Invert
Cau_pelt,Upright_algae,Caulerpa_spp
Chl_fas,Upright_algae,Chlorodesmis_spp
Spato,Upright_algae,Spatoglossum_spp
